央视频道,#genre#
Newtv军事评论,http://112.50.243.8/PLTV/88888888/224/3221225890/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226658/index.m3u8
Newtv精品体育,http://112.50.243.8/PLTV/88888888/224/3221225886/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226819/index.m3u8
Newtv超级体育,http://112.50.243.8/PLTV/88888888/224/3221225803/1.m3u8
Newtv武博世界,http://112.50.243.8/PLTV/88888888/224/3221225895/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226737/index.m3u8
Newtv超级综艺,http://112.50.243.8/PLTV/88888888/224/3221225801/1.m3u8
Newtv金牌综艺,http://112.17.40.140/PLTV/88888888/224/3221226749/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225884/1.m3u8
Newtv精品记录,http://112.50.243.8/PLTV/88888888/224/3221225888/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226735/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226763/index.m3u8
Newtv农业致富,http://112.17.40.140/PLTV/88888888/224/3221226664/index.m3u8
Newtv怡伴健康,http://112.50.243.8/PLTV/88888888/224/3221225883/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226757/index.m3u8
Newtv黑莓动画,http://112.17.40.140/PLTV/88888888/224/3221226654/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225878/1.m3u8
NEWTV黑莓电影,http://112.50.243.8/PLTV/88888888/224/3221225891/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226755/index.m3u8
NEWTV黑莓电竞,http://112.50.243.8/PLTV/88888888/224/3221225894/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226724/index.m3u8

华数iHOT,#genre#
iHOT爱院线,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230019/01.m3u8?fmt=ts2hls#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230019/01.m3u8?fmt=ts2hls,2646,01.m3u8,0,7813,0,0#http://101.71.255.229:6610/zjhs/2/10116/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
iHOT爱科幻,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230025/01.m3u8?fmt=ts2hls#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230025/01.m3u8?fmt=ts2hls,2646,01.m3u8,0,7813,0,0#http://101.71.255.229:6610/zjhs/2/10113/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
iHOT爱喜剧,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230022/01.m3u8?fmt=ts2hls#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230022/01.m3u8?fmt=ts2hls,2646,01.m3u8,0,7813,0,0#http://101.71.255.229:6610/zjhs/2/10105/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
iHOT爱奇谈,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230023/index.m3u8#http://101.71.255.229:6610/zjhs/2/10103/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
iHOT爱青春,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230130/index.m3u8
iHOT爱怀旧,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230049/01.m3u8
iHOT爱经典,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230101/01.m3u8#http://101.71.255.229:6610/zjhs/2/10106/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
iHOT爱都市,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230104/01.m3u8#http://101.71.255.229:6610/zjhs/2/10111/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
iHOT爱家庭,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230118/01.m3u8
iHOT爱美食,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230115/01.m3u8#http://101.71.255.229:6610/zjhs/2/10108/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
iHOT爱浪漫,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230005/01.m3u8?fmt=ts2hls#http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/#http://101.71.255.229:6610/zjhs/2/10115/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
iHOT爱旅行,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230052/01.m3u8
iHOT爱娱乐,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230077/01.m3u8
iHOT爱时尚,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230#http://101.71.255.229:6610/zjhs/2/10118/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
iHOT爱江湖,http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230074/01.m3u8#http://101.71.255.229:6610/zjhs/2/10114/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
